location,n_vaccinated,perc_of_pop
World[d],"468,036,108",6.0%
China[e],"179,216,000",--
United States,"123,917,385",37.1%
India,"100,179,199",7.3%
EU,"74,044,946",16.6%
United Kingdom,"32,326,604",47.6%
Brazil,"24,197,321",11.4%
Germany,"14,058,329",16.8%
Mexico[e],"12,407,625",--
Turkey,"11,956,318",14.2%
France,"11,366,175",16.7%
Indonesia,"10,457,337",3.8%
Italy,"9,788,805",16.2%
Russia,"9,343,939",6.4%
United Arab Emirates[e],"9,295,462",--
Canada,"8,350,721",22.0%
Spain,"8,250,887",17.7%
Chile,"7,521,754",39.4%
Saudi Arabia[e],"6,582,977",--
Poland,"5,832,860",15.4%
Bangladesh,"5,649,563",3.4%
Israel,"5,338,273",61.7%
Argentina,"4,996,672",11.1%
Morocco,"4,529,399",12.3%
Hungary,"3,090,994",32.0%
Netherlands,"2,957,777",17.3%
Romania,"2,372,655",12.3%
Colombia,"2,258,826",4.4%
Belgium,"1,986,064",17.1%
Serbia,"1,780,918",26.2%
Portugal,"1,660,149",16.3%
Nepal[e],"1,600,000",--
Greece,"1,569,559",15.1%
Austria,"1,552,516",17.2%
Sweden,"1,543,414",15.3%
Czech Republic,"1,482,502",13.8%
Australia[e],"1,295,672",--
South Korea,"1,285,909",2.5%
Cambodia,"1,203,636",7.2%
Finland,"1,190,340",21.5%
Qatar[e],"1,159,479",--
Japan,"1,156,626",0.9%
Singapore,"1,131,658",19.3%
Switzerland,"1,121,455",13.0%
Pakistan,"1,114,000",0.5%
Philippines,"1,093,651",1.0%
Myanmar,"1,000,000",1.8%
Denmark,"995,672",17.2%
Uruguay,"966,016",27.8%
Nigeria,"964,387",0.5%
Sri Lanka,"925,242",4.3%
Dominican Republic,"909,898",8.4%
Norway,"897,511",16.6%
Slovakia,"891,404",16.3%
Azerbaijan,"813,413",8.0%
Ireland,"769,721",15.7%
Ghana,"742,349",2.4%
Peru,"663,870",2.0%
Malaysia,"632,668",2.0%
Hong Kong,"632,291",8.4%
Mongolia[e],"627,168",--
Kuwait[e],"604,861",--
Bahrain,"578,085",34.0%
Lithuania,"528,668",19.4%
Thailand,"505,744",0.7%
Croatia,"491,601",12.0%
Bulgaria,"485,498",7.0%
Bhutan,"477,060",61.8%
Kenya,"422,021",0.8%
Ukraine,"419,295",1.0%
Jordan,"404,912",4.0%
Senegal,"370,037",2.2%
Iran,"361,951",0.4%
El Salvador[e],"361,474",--
Costa Rica,"354,291",7.0%
