year,google_knowledge_occupation,show,group,first_name,last_name,last_name2
2015,actor,2015-06-16,Acting,Aziz,Ansari,NA
2010,NA,2010-10-28,NA,none,NA,NA
2014,actor,2014-10-29,Acting,Ellar,Coltrane,NA
2007,actress,2007-01-01,Acting,Meryl,Streep,NA
2004,author,2004-10-28,Media,John,Zogby,NA
2003,actress,2003-12-08,Acting,Eva,Mendes,NA
2006,singer-songwriter,2006-05-18,Musician,Willie,Nelson,NA
2006,actor,2006-07-31,Acting,Will,Ferrell,NA
2006,former white house counsel,2006-07-11,Political Aide,John,Dean,NA
2011,film actress,2011-11-16,Acting,Diane,Keaton,NA
