location,n_vaccinated,perc_of_pop
World[d],"3,376,011,578",42.9%
China,"1,095,000,000",75.8%
India,"586,105,233",42.1%
European Union,"295,680,233",66.1%
United States[e],"211,097,597",62.8%
Brazil,"145,113,195",67.8%
Japan,"82,677,879",65.6%
Indonesia,"77,417,488",28.0%
Mexico,"61,616,895",47.3%
Germany,"55,703,730",66.4%
Pakistan,"54,436,916",24.2%
Turkey,"52,497,989",61.7%
France,"49,707,676",73.6%
United Kingdom,"48,528,901",71.2%
Russia,"46,745,074",32.0%
Italy[f],"44,130,192",73.1%
Spain,"37,385,758",80.0%
South Korea,"35,414,516",69.0%
Argentina,"28,929,766",63.4%
Canada,"28,629,817",75.2%
Thailand,"28,436,015",40.6%
Vietnam,"26,307,653",26.8%
Colombia,"24,733,487",48.2%
Saudi Arabia,"23,022,910",65.2%
Iran,"22,943,141",27.0%
Malaysia,"21,863,951",66.7%
Bangladesh,"21,559,401",13.0%
Morocco,"20,362,745",54.5%
Poland,"19,601,546",51.9%
Philippines,"18,697,647",16.8%
Australia,"14,768,715",57.3%
Chile,"14,671,991",76.4%
Sri Lanka,"13,690,202",63.7%
Peru,"12,354,190",37.0%
Netherlands,"12,068,854",70.3%
Cambodia,"11,608,143",68.5%
Taiwan,"11,593,038",48.6%
South Africa,"11,367,049",18.9%
Ecuador,"10,699,102",59.8%
Uzbekistan,"9,787,973",28.8%
United Arab Emirates,"9,059,751",90.7%
Portugal,"8,846,756",87.0%
Belgium,"8,515,499",73.2%
Egypt,"7,743,420",7.4%
Cuba,"7,461,666",65.9%
Kazakhstan,"7,228,047",38.0%
Sweden,"7,070,462",69.6%
Venezuela,"6,822,809",23.8%
Greece,"6,349,134",61.2%
Ukraine,"6,248,153",14.4%
Nepal,"6,083,124",20.5%
Israel,"6,059,158",68.9%
Czechia,"6,040,218",56.3%
Dominican Republic,"5,957,432",54.4%
Hungary,"5,855,039",60.8%
Algeria,"5,815,039",13.0%
Austria,"5,640,345",62.4%
Romania,"5,347,116",27.9%
Switzerland,"5,270,807",60.5%
Myanmar,"4,944,654",9.0%
Singapore,"4,654,992",78.9%
Tunisia,"4,610,453",38.6%
Azerbaijan,"4,570,812",44.7%
Denmark,"4,440,213",76.4%
Hong Kong,"4,387,270",58.1%
Iraq,"4,203,578",10.2%
Bolivia,"4,161,019",35.2%
Nigeria,"4,146,028",2.0%
Finland,"4,094,729",73.8%
Norway,"4,046,955",74.0%
Guatemala,"4,017,554",22.0%
El Salvador,"3,875,388",59.5%
Ireland,"3,745,660",75.2%
